pore_number,pore_N,Canonical_STRONGs,formation_time,formation_probability,formation_energy
6804,17,AAFFFAAFFFACAFFFZFZFFFSFFZFZFZFZFFF,191,0.0001,1057.14
6805,17,AAFFFSFZFZFFFAAFFZFFZFFACAFFFZFZFFF,184.42,0.0001,1035.98
6806,17,AAFFZFFAAFFZFFFZFAAFFZFFAAFZFFFZFFZF,182.31,0.0001,1058.59
6807,17,AAFFFZFZFFZFFAAFFZFFFACAFZFFFZFFZFZF,194.58,0.0001,1083.25
6808,17,AAFFFZFFZFACAFFFZFFZFFZFAAFFZFFZFFZF,183.96,0.0001,1070.70
6809,17,AAFAAFFFAAFFFZFFAAFFZFZFZFFFAAFFZFFF,189.69,0.0001,1031.98
6810,17,AAFFFZFFZFZFZFFZFZFZFFFZFFSFFSFFZF,195.88,0.0001,1102.59
6811,17,AAFFZFFACAFFZFFFZFZFFZFZFZFSFFZFFZFFZFF,190.83,0.0001,1234.83
6812,17,AAFFASFZFFFAAFFZFFZFZFFZFZFZFFZFFF,182.93,0.0001,1042.68
6813,17,AAFFFZFZFFFACAFZFFFZFZFFZFFSFFZFZFF,192.93,0.0001,1084.11
6814,17,AAFFAAFFFZFFZFAAFFFZFZFFSFZFFFZFZFF,192.79,0.0001,1054.79
6815,17,AAFFZFFFZFZFZFFASFFZFZFFZFFZFZFFZF,183.86,0.0001,1084.95
6816,17,AAFFFAAFFFZFFACAFFFZFZFFZFFSFFZFFZF,197.47,0.0001,1036.49
6817,17,AAFFFSFFZFFAAFZFFFZFFACAFFFZFZFFZFF,193.15,0.0001,1035.15
6818,17,AAFAAFFFZFFZFZFFAAFFZFFFACAFFFZFZFFF,192.93,0.0001,1044.32
6819,17,AAFFFAAFFFZFAAFZFFFZFFZFAAFFZFZFFFZF,186.75,0.0001,1069.99
6820,17,AAFFAAFFFZFFAAFFFZFACAFFFZFFZFZFFZFF,188.48,0.0001,1038.92
6821,17,AAFFFSFFZFZFFFAAFFZFAAFFZFFFZFZFZFF,195.78,0.0001,1070.24
6822,17,AAFFFZFFAAFZFFFZFFSFFSFFZFZFFZFFZF,190.79,0.0001,1052.80
6823,17,AAFFACAFFFZFFAAFFZFFFZFACAFFFZFZFZFFZFFF,188.2,0.0001,1124.50
6824,17,AAFFFZFFZFAAFFZFFZFFZFFACAFFZFFFZFZF,187.24,0.0002,1072.31
6825,17,AAFFFAAFFFAAFFZFFZFFFSZFFAAFFFZFFZF,195.26,0.0001,1018.67
6826,17,AAFFFZFZFFAAFFZFFFZFAAFFSFFZFFZFFZF,191.73,0.0001,1056.59
6827,17,AAFFFAAFFFSFZFFZFFFAAFZFZFZFFFZFZFF,188.59,0.0001,1066.17
6828,17,AAFFFZFFZFACAFFFZFFZFFSFFZFZFFZFZFF,185.08,0.0001,1074.08
6829,17,AAFFAAFFZFFFZFAAFFZFZFFFZFAAFZFFFZFF,189.16,0.0001,1066.83
6830,17,AAFFFSFFZFFZFAAFFZFFZFFZFFACAFFFZFF,193.51,0.0001,1024.51
6831,17,AAFFFZFACAFFFZFZFFFAAFFZFFAAFFZFZFFF,180.03,0.0002,1049.30
6832,17,AAFFFZFZFFACAFFFZFFZFFZFAAFFZFZFFFZF,186.58,0.0002,1081.54
6833,17,AAFFFZFFZFZFZFFFACAFFFZFZFFFSFFZFZF,189.46,0.0002,1088.52
6834,17,AAFFZFFFACAFFZFFFZFAAFZFFFZFFACAFFZFFFZF,193.16,0.0001,1164.33
6835,17,AAFFFZFAAFFFZFZFZFFFAAFFZFFASFFZFF,195.8,0.0001,1007.19
6836,17,AAFFFZFFZFFACAFZFFFZFFAAFFZFFZFZFFZF,187.29,0.0001,1073.92
6837,17,AAFFFAAFFFZFZFZFFFACAFFZFFFZFAAFFFZF,192.87,0.0001,1058.08
6838,17,AAFAAFFFZFFZFFAAFFZFFSFFZFZFFZFFZFF,186.48,0.0001,1049.74
6839,17,AAFFFAAFFFZFFACAFFZFZFFFZFZFFAAFFZFF,186.1,0.0001,1042.55
6840,17,AAFFFAAFFFZFAAFFFZFFAAFFSFFZFFZFFZF,186.62,0.0001,1016.49
6841,17,AAFFFAAFFFSFFZFFZFZFAAFFFZFFAAFFFZF,189.35,0.0002,1024.96
6842,17,AAFFZFFZFFZFFACAFZFFFZFFZFZFZFZFFFZF,183.81,0.0001,1120.40
6843,17,AAFFFZFFACAFFFZFFZFZFZFFZFFFSZFFFZF,194.56,0.0001,1086.97
6844,17,AAFFFZFFSFFZFFACAFFFZFFAAFFFZFZFZFF,192.16,0.0001,1035.67
6845,17,AAFFFZFAAFZFFFZFFACAFFFZFFZFZFZFZFFF,192.15,0.0001,1087.05
6846,17,AAFFFZFFZFZFFAAFFZFFZFFASFFZFFZFZF,193.42,0.0001,1037.49
6847,17,AAFFFACAFZFFZFFFAAFFZFZFFFSFFAAFZFFZFFF,188.36,0.0001,1162.50
6848,17,AAFFFAAFFFAAFFFZFAAFFFSFZFFFZFZFZFF,187.37,0.0001,1027.71
6849,17,AAFFFAAFFZFFZFFFACCAFFFZFZFFZFFZFZFF,183.83,0.0001,1058.43
6850,17,AAFFFSFFZFAAFFFZFFZFAAFFZFFFAAFZFFF,182.83,0.0001,1022.69
6851,17,AAFFFAAFFFZFFAAFFZFSFFZFFZFFZFZFFZF,194.92,0.0002,1059.11
6852,17,AAFFAAFFZFFFZFSFFZFFZFAAFFZFFZFFZFF,193.31,0.0001,1050.92
6853,17,AAFFFZFFSFFZFZFFZFZFFFACAFFZFFFZFZF,188.11,0.0001,1086.07
6854,17,AAFAAFFFZFZFFFSFFZFZFZFFZFZFZFFFZFF,191.63,0.0001,1115.70
6855,17,AAFFFZFAAFFZFFZFZFFZFFFSFFSFZFZFFF,184.61,0.0001,1056.64
6856,17,AAFFFZFSFFZFFZFAAFFZFFFZFZFZFZFZFFF,193.79,0.0001,1114.33
6857,17,AAFAAFFFAAFFFZFFAAFFZFZFFAAFFFZFZFFF,200.15,0.0001,1032.74
6858,17,AAFFFACAFFZFZFFFZFZFFAAFFZFFAAFFZFFF,184.32,0.0002,1042.43
6859,17,AAFFZFFZFFZFFASFZFZFFFZFZFZFZFFFZF,187.41,0.0001,1087.71
6860,17,AAFFFZFZFZFFFZFAAFZFFZFFFZFSFFZFZFF,185.87,0.0001,1111.89
6861,17,AAFAAFFFAAFFZFFFAAFFZFZFFAAFFZFFZFFF,185.79,0.0001,1023.70
6862,17,ACAFFFZFFZFFACAFFFZFFZFZFZFZFFFZFZFF,186.55,0.0001,1036.57
6863,17,ACAFFFZFFZFZFFZFZFZFFZFFFACAFFZFFFZF,186.21,0.0001,1098.10
6864,17,AAFFFAAFZFFFAAFFZFFZFFZFAAFZFFZFFFZF,193.48,0.0001,1060.56
6865,17,AAFAAFFFZFFZFAAFFFZFFSFFZFZFZFFZFFF,188.6,0.0001,1061.33
6866,17,AAFFFZFFAAFZFFFACAFFFZFFZFFAAFZFFZFF,189.89,0.0001,1033.02
6867,17,AAFFFAAFFFZFSFFZFZFFZFFZFFACAFFFZFF,189.68,0.0001,1038.04
6868,17,AAFFAAFFFZFZFFZFFZFSFFZFFAAFFZFFFZF,182.86,0.0001,1059.57
6869,17,ACAFFFZFZFZFFFZFZFZFZFFZFFFSZFFFZFF,199.56,0.0002,1129.09
6870,17,AAFFFZFZFZFZFFFZFFAAFZFZFFZFFZFFFSF,196.71,0.0001,1104.76
6871,17,AAFFFZFFZFZFAAFZFFZFFFZFZFZFZFFZFZFF,196.31,0.0001,1152.72
6872,17,AAFFFAAFFFZFFASFZFFAAFFFZFZFFZFZFF,187.62,0.0001,1002.87
6873,17,AAFZFFFZFFZFZFZFFZFZFZFFFSFFZFFZFZF,194.78,0.0001,1150.36
6874,17,AAFFFZFFACAFFZFZFFFZFZFFZFAAFFZFFZFF,185.65,0.0001,1079.35
6875,17,AAFFAAFFFAAFFZFFFAAFZFFFSFFAAFFZFFF,186.93,0.0001,982.41
6876,17,AAFAAFFFZFFSFFZFFAAFFFAAFFZFZFFZFFF,189.98,0.0001,1019.40
6877,17,AAFFFACAFFZFFFZFZFZFZFFFSFFZFZFZFFF,185.93,0.0001,1094.51
6878,17,AAFFFSFFZFFACAFFFZFFZFZFFZFAAFFFZFF,195.51,0.0001,1033.25
6879,17,AAFFFAAFFZFFFZFAAFZFFAAFFFZFFZFZFZFF,188.61,0.0001,1067.08
6880,17,AAFFFASFZFZFFFZFZFZFZFFFAAFFZFZFFF,189.01,0.0001,1058.46
6881,17,ACAFFFZFFSFFZFZFFZFFZFZFZFZFFZFFFZF,188.65,0.0001,1119.40
6882,17,AAFFFAAFFFZFAAFFFZFAAFFFZFFZFSFFZFF,195.64,0.0001,1023.95
6883,17,AAFFFZFFZFFZFACAFZFFFZFFZFAAFFFZFZFFZFZF,187.04,0.0001,1247.27
6884,17,AAFFFZFFAAFZFFFZFFZFACAFFZFFZFZFFFZFZFZF,190.97,0.0001,1248.55
6885,17,AAFFFSFFZFFZFZFFZFZFFAAFZFFFZFFZFZF,192.69,0.0001,1104.71
6886,17,AAFAAFFFAAFFFZFFZFAAFFZFZFFZFFZFZFFF,186.81,0.0001,1066.63
6887,17,AAFFFAAFFFAAFFZFFZFFASFFAAFFFZFZFF,195.61,0.0001,962.48
6888,17,AAFFZFFZFFFSFZFFZFZFZFFZFFZFFZF,190.68,0.0001,966.02
6889,17,AAFFAAFFFZFFAAFFFAAFFZFFAAFZFFFZFFZF,184.27,0.0001,1020.49
6890,17,AAFFAAFFFAAFFFAAFFFZFZFZFZFZFFZFFFZF,188.03,0.0001,1078.71
6891,17,AAFFZFFZFZFFFZFAAFZFFZFFFACAFFFZFFZF,186.44,0.0001,1078.48
6892,17,AAFFFAAFFFSFZFFFZFZFAAFFZFFFAAFFZFF,190.48,0.0001,1019.69
6893,17,AAFFFAAFFFZFFAAFZFZFZFFFZFFAAFFZFZFF,186.72,0.0001,1072.60
6894,17,AAFFFACAFFFZFZFZFFFZFAAFFFZFAAFFZFFF,186.4,0.0001,1049.61
6895,17,AAFFFSFZFFFZFAAFZFFFAAFFFZFZFZFZFFF,200.07,0.0001,1070.81
6896,17,AAFFFAAFFFZFFSFFAAFFZFZFFFZFAAFFFZF,190.54,0.0001,1024.55
6897,17,AAFFFAAFFFZFAAFFFZFZFFFSZFFFAAFFFZF,189.97,0.0001,1032.21
6898,17,AAFFAAFFFAAFFZFFFZFAAFZFFZFFASFFZFFZFF,188.65,0.0001,1115.89
6899,17,AAFFFAAFFFAAFFZFFZFZFFZFFASFZFFFZF,193.58,0.0001,1000.15
6900,17,AAFFFAAFFFZFZFZFFAAFFFZFZFFFASFZFF,190.1,0.0001,1012.17
6901,17,AAFFFSFZFFFZFAAFFZFFZFFZFAAFFZFFFZF,194.92,0.0001,1052.24
6902,17,AAFAAFFFZFFAAFFFAAFFFSFFZFZFZFFZFFF,191.7,0.0001,1027.44
6903,17,AAFFFACAFFFZFZFFZFFFACAFFZFZFFZFFZFF,183.12,0.0001,1005.06
6904,17,AAFFFZFZFZFFZFZFFFZFZFACAFFFZFFZFFZF,186.06,0.0001,1129.92
6905,17,AAFFFZFZFFAAFFZFFZFFFASFZFZFZFFFZF,191.19,0.0001,1046.37
6906,17,AAFAAFFFZFZFFFZFAAFFAAFFFZFZFFZFZFFF,184.44,0.0001,1076.89
6907,17,AAFFFZFZFFZFZFFFSFFSZFFFZFFZFZFZFF,189.71,0.0001,1113.11
6908,17,AAFFSFFZFFZFFZFFACAFFZFFZFFZFZFFZFF,186.33,0.0001,1056.55
6909,17,AAFFFAAFFFZFAAFZFFFZFZFFFACAFFZFFZFF,192.41,0.0001,1041.28
6910,17,AAFFZFFFSFZFFFZFACAFFFZFZFFZFFZFZFF,192.99,0.0001,1075.19
6911,17,AAFFZFFZFFZFZFFFSFZFZFFZFFZFFZF,179.72,0.0002,973.23
6912,17,AAFFFAAFFZFFFAAFFZFAAFFFZFZFFFSFFZF,185.29,0.0001,1026.87
6913,17,AAFFFSFZFFFAAFZFFZFZFFFZFZFAAFFZFFF,185.28,0.0001,1063.77
6914,17,AAFFFAAFFFAAFFZFFAAFFZFFFZFACAFFFZFF,191.96,0.0001,1000.85
6915,17,AAFFFZFZFZFZFFZFFZFFFSZFFFACAFFFZFF,190.89,0.0001,1080.72
6916,17,AAFFZFFFACAFFFZFFZFZFZFZFFZFFFSFFZF,190.79,0.0001,1080.16
6917,17,AAFFFAAFFZFFFSFZFZFFFZFZFAAFFZFFFZF,188.29,0.0001,1065.10
6918,17,AAFFFAAFFFAAFFFZFZFAAFFFZFZFFZFFFSF,191.74,0.0001,1027.36
6919,17,AAFAAFFFAAFFFAAFFFZFZFZFFAAFFZFFZFFF,193.63,0.0001,1030.81
6920,17,FFFZFFSFZFFZFZFZFFFZFZFZFFZFZFZ,184.73,0.0001,1008.21
6921,17,AAFFFSFZFZFFFZFAAFFFZFZFFAAFZFFFZFF,183.97,0.0001,1065.73
6922,17,AAFFFZFZFZFFFAAFFZFFASFZFFFZFZFZFF,190.24,0.0001,1051.71
6923,17,AAFFZFFZFFFACSZFFZFFZFZFFZFZFFZFF,184.98,0.0001,1051.26
6924,17,AAFFZFFZFFZFZFFASFZFFFZFZFZFZFFFZF,189.35,0.0001,1084.71
6925,17,AAFFAAFFFZFZFZFZFFFZFFAAFZFZFZFFFZFF,190.97,0.0001,1119.14
6926,17,AAFFFZFFAAFFZFFFACAFFZFFZFFZFFSFFZF,188.52,0.0001,1022.98
6927,17,AAFAAFFFZFFZFFAAFZFFFAAFZFFFZFZFZFFF,191.88,0.0001,1071.87
6928,17,AAFFAAFFFAAFFZFFFAAFZFFFACAFFFZFZFFF,192.31,0.0001,1005.58
6929,17,AAFFFSFFZFFAAFFZFZFZFFFZFFAAFZFZFFF,197.94,0.0001,1069.61
6930,17,AAFFFSFFZFZFFZFFFACAFFZFZFFZFFZFFZF,186.26,0.0001,1074.37
6931,17,AAFFAAFFFZFFAAFZFFFAAFFFZFAAFZFFFZFF,185.54,0.0001,1026.23
6932,17,AAFFFACAFFFAAFFFZFFZFAAFFZFZFFZFFZFF,184.16,0.0001,1036.34
6933,17,AAFFFAAFFZFFFSFZFFFACAFFFAAFFFZFZFF,190.39,0.0001,996.14
6934,17,AAFFAAFFZFFFAAFFZFFSFFZFFAAFZFFFZFF,189.35,0.0001,1012.55
6935,17,AAFFFAAFFZFFZFFASFFZFFAAFZFFFZFZFF,189.49,0.0001,1000.67
6936,17,AAFFFZFZFFFZFZFZFZFZFZFFZFFZFZFFFZFAAFZF,192.95,0.0001,1322.54
6937,17,AAFFAAFFFAAFFFZFZFFZFAAFFFAAFFZFFFZF,194.92,0.0001,1029.09
6938,17,AAFFFZFAAFFZFFFSFFZFZFFZFAAFFZFFFZF,191.81,0.0001,1063.08
6939,17,AAFFFZFSFFZFFZFZFZFFFZFZFAAFFZFFFZF,193.12,0.0001,1111.70
6940,17,AAFFFAAFFFAAFFFZFAAFZFFFZFZFFFSFZFF,187.51,0.0001,1024.92
6941,17,AAFFAAFFFAAFFFZFZFFZFAAFZFFFZFFAAFFF,195.38,0.0001,1029.02
6942,17,AAFFSFFZFFZFFAAFFZFFZFFACAFFFZFFZFF,187.51,0.0001,1016.12
6943,17,AAFFFZFZFZFZFFZFFFSFFZFZFAAFFZFFFZF,189.69,0.0002,1113.16
6944,17,AAFFASFFZFFZFZFFZFZFZFFFZFAAFFZFFF,196.36,0.0001,1049.01
6945,17,AAFFFZFZFAAFFFZFZFFFZFAAFZFFZFZFFFZF,194.65,0.0001,1117.36
6946,17,AAFFFZFFZFAAFFZFFAAFFFZFZFFFACAFFZFF,183.15,0.0001,1037.41
6947,17,AAFFAAFFFAAFFFZFFAAFZFFZFFSFFZFFZFF,181.93,0.0001,1010.89
6948,17,AAFFFZFZFFFACAFZFFFZFZFFZFFAAFZFFFZF,187.72,0.0001,1091.07
6949,17,AAFFFZFAAFZFFZFFZFFZFFACAFFFZFZFZFFF,187.13,0.0001,1079.23
6950,17,AAFFFZFFZFAAFZFFFZFFAAFFZFFSFFZFFZF,192.04,0.0001,1051.54
6951,17,AAFFFSFFAAFFFZFFAAFFZFZFFAAFFFZFFZF,187.22,0.0001,1021.89
6952,17,AAFFFZFFAAFZFZFFFZFZFFZFZFFSFZFFFZF,181.77,0.0001,1100.21
6953,17,AAFFAAFFFZFFAAFZFFFAAFFFZFSFFZFZFFF,190.13,0.0001,1028.18
6954,17,AAFFFACAFFFZFFZFZFZFFZFFFSFAAFFFZFF,187.18,0.0001,1034.78
6955,17,AAFFFAAFFFZFFAAFZFFZFZFZFFFZFFAAFZFF,183.83,0.0001,1067.75
6956,17,AAFFFZFAAFFZFFFACAFFZFFFZFZFZFZFZFFF,187.41,0.0001,1091.92
6957,17,AAFFFSFZFFFZFAAFFFZFAAFFFZFZFZFFFZF,189.98,0.0001,1069.03
6958,17,AAFFZFFZFFZFZFZFFFZFACAFFFZFZFFFZFZF,195.18,0.0001,1131.12
6959,17,AAFFFAAFFFZFZFFACAFFFZFZFFFZFAAFFZFF,179.79,0.0002,1046.40
6960,17,AAFFFAAFFFZFFACAFZFFFZFZFFZFFAAFFZFF,182.6,0.0001,1039.57
6961,17,AAFAAFFFZFFZFZFFAAFFZFFFAAFZFZFFFZFF,195.25,0.0001,1068.13
6962,17,AAFFAAFFFZFZFZFFFAAFFFAAFZFZFFZFFFZF,185.49,0.0001,1074.98
6963,17,AAFFAAFFFZFFAAFFFAAFFZFFSFFZFZFFFZF,187.18,0.0001,1020.96
6964,17,AAFFAAFFFAAFFZFFFAAFZFFFAAFZFZFFFZFF,190.67,0.0001,1028.96
6965,17,AAFFFAAFFFAAFFFSFZFZFFFZFZFFAAFZFFF,182.76,0.0001,1028.25
6966,17,AAFAAFFFZFZFFFAAFFAAFFFZFAAFFFZFZFFF,191.92,0.0001,1036.92
6967,17,AAFFAAFFFAAFFFAAFFZFFFACAFFFAAFFZFFF,184.93,0.0001,960.66
6968,17,AAFAAFFFZFFAAFFZFFFACAFFFZFZFZFFZFFF,189.81,0.0001,1043.20
6969,17,AAFFZFFZFFZFZFFZFFSFFSFFZFZFFFZFZF,187.8,0.0001,1094.82
6970,17,AAFFFAAFFFZFFSFFZFAAFFZFFFAAFFZFFZF,186.54,0.0001,1016.26
6971,17,AAFFFZFAAFFFZFFZFZFAAFFZFFZFFFAAFZFF,187.01,0.0001,1063.30
6972,17,AAFFFZFFASFZFZFFZFFZFFZFAAFFZFFZFF,188.93,0.0001,1029.27
6973,17,AAFFAAFFFZFZFFFACAFFFZFZFFAAFFZFFFZF,185.36,0.0001,1046.75
6974,17,AAFAAFFFZFFZFFAAFFAAFFFAAFFFZFZFZFFF,194.58,0.0001,1030.40
6975,17,AAFFFAAFFZFFFASFZFFZFFAAFFZFZFFFZF,192.73,0.0001,999.41
6976,17,AAFFZFFFSFFZFAAFFZFFFZFAAFFZFZFFFZF,193.54,0.0001,1064.55
6977,17,AAFFFZFZFZFFFZFAAFFZFFFSFFSFFZFFZF,183.9,0.0001,1063.26
6978,17,AAFFFZFZFFZFFZFACAFFFZFZFFFZFZFZFZFF,186.04,0.0001,1133.68
6979,17,AAFFFAAFFFAAFFFZFAAFZFFFZFFAAFZFFFZF,189.32,0.0001,1030.13
6980,17,AAFFFAAFZFFFAAFFFZFZFZFZFFFSFZFFFZF,192.48,0.0001,1071.19
6981,17,AAFFZFFZFFFSFZFZFZFFFZFZFZFFZFF,195.81,0.0003,979.73
6982,17,AAFFFSFZFFFAAFFZFFAAFZFFFZFFAAFZFFF,186.31,0.0001,1016.70
6983,17,AAFFFAAFFFZFFZFAAFZFFZFFZFZFFFAAFFZF,189.18,0.0001,1063.01
6984,17,AAFFFZFZFFAAFZFFFZFZFFFACAFFZFZFFFZF,194.54,0.0001,1091.25
6985,17,AAFFZFZFFZFFZFZFFFACAFFFSFFZFZFFFZF,195.28,0.0001,1082.31
6986,17,AAFFAAFFFAAFFFSFFZFFZFAAFFFAAFFZFFF,193.91,0.0002,981.89
6987,17,AAFFFZFFSFZFFZFZFFFAAFFZFZFFZFF,181.4,0.0001,917.23
6988,17,AAFFFZFAAFFZFFFSFFZFFAAFZFFZFZFFFZF,190.46,0.0001,1063.99
6989,17,AAFFFZFFZFZFZFZFFFAAFZFFFZFFACAFFFZF,194.5,0.0001,1091.53
6990,17,AAFFFZFFZFZFZFZFFFZFAAFFZFFFZFSFFZF,199.38,0.0001,1111.40
6991,17,AAFAAFFFZFFZFFAAFFFAAFZFFZFZFFZFFFSFFZF,186.4,0.0001,1182.42
6992,17,AAFFFZFSFFZFZFFFACAFFFZFFZFZFZFZFFF,197.37,0.0001,1098.87
6993,17,AAFFFACAFFFZFFAAFFFSFFZFFAAFFZFZFFF,192.97,0.0001,998.25
6994,17,AAFFFZFAAFZFFFZFFZFZFSFFZFFZFZFFZFF,190.5,0.0001,1101.91
6995,17,AAFFZFFZFZFFZFFZFFSFZFZFFFZFZFF,181.19,0.0001,957.47
6996,17,AAFZFFFZFZFFZFZFFZFFACAFFFZFZFFFZFZF,188.11,0.0001,1128.53
6997,17,AAFFAAFFZFFFSFZFFFAAFFZFZFZFZFFFZFF,188.85,0.0001,1062.87
6998,17,AAFFZFFZFFZFZFFZFFASFZFZFFFZFZFFZF,188.03,0.0001,1079.16
6999,17,AAFFZFFFACAFFFZFZFZFFFZFZFSFFZFFZFF,193.26,0.0002,1083.02
7000,17,AAFFAAFFFAAFFZFFFAAFFFSZFFZFFZFZFFF,199.48,0.0001,1021.67
7001,17,AAFFFAAFFFZFZFZFFFAAFZFZFFFZFZFFFSF,191.12,0.0001,1075.81
7002,17,AAFFFAAFFZFFFACAFFFSFFZFFZFFACAFFZFFFZF,193.28,0.0001,1068.29
7003,17,AAFFFSFFACAFFZFFFZFZFZFFFACAFFZFFZFZFFF,188.58,0.0001,1121.17
7004,17,AAFFFSFZFFZFZFFFAAFZFFFZFAAFZFFFZFF,186.81,0.0001,1060.62
7005,17,AAFFFZFZFFZFFAAFZFZFFFZFZFFFACAFFZFF,184.97,0.0001,1085.28
7006,17,AAFFFZFFACAFFFZFZFFZFZFFFAAFFSFFZFF,185.84,0.0001,1035.48
7007,17,AAFFFAAFFZFFZFFZFZFFACAFFFZFZFFFZFZF,183.97,0.0002,1083.49
7008,17,AAFZFFFZFZFFFACAFZFFFZFZFFZFZFZFFFZF,186.54,0.0001,1136.99
7009,17,AAFFFZFACAFFZFFZFFZFZFFFAAFZFFAAFZFFFZFF,187.22,0.0001,1199.48
7010,17,AAFFFZFFZFFACAFFZFFZFZFFFSFFZFFACAFFFZF,189.88,0.0001,1155.02
7011,17,AAFFAAFFZFFFAAFFZFFAAFFFACAFFFZFFZFF,184.55,0.0001,992.74
7012,17,AAFFFAAFFFZFZFAAFFFZFZFFFAAFFSFFZFF,186.09,0.0001,1028.45
7013,17,AAFFFAAFFFAAFFZFFFACAFFFZFAAFFFZFFZF,197.44,0.0001,1002.41
7014,17,AAFFFZFAAFFFZFZFFAAFFFZFZFFASFFZFF,188.83,0.0001,1008.81
7015,17,AAFFFSZFFZFFZFZFFFAAFFZFAAFFFZFZFFF,182.39,0.0001,1065.64
7016,17,AAFFFSZFFZFFFZFAAFFZFFAAFFFZFZFZFFF,193.22,0.0001,1065.83
7017,17,AAFFFZFFZFFAAFFZFZFFZFFAAFFFZFZFFFS,186.65,0.0001,1059.28
7018,17,AAFFFSFFZFFZFZFFAAFFZFFFACAFFFZFFZF,194.12,0.0001,1034.38
7019,17,AAFFFSFZFFFAAFZFFFZFAAFFZFFFAAFZFFF,189.89,0.0001,1021.76
7020,17,AAFFFZFFACAFFFZFFSFFZFFZFAAFFFZFZFF,190.12,0.0001,1032.05
7021,17,AAFFFZFFZFAAFZFFZFFFZFZFAAFFZFFZFFZF,187.18,0.0001,1098.07
7022,17,AAFFFSFZFFZFFZFZFZFFFZFACAFFFZFFZFF,181.42,0.0001,1072.19
7023,17,AAFFFZFZFFFACAFFZFFFACAFFFZFFZFZFZFF,197.27,0.0001,1060.87
7024,17,AAFFFZFFACAFFFZFFZFSFFZFFZFFAAFFZFF,195.18,0.0001,1026.72
7025,17,AAFFFZFAAFFZFFZFZFZFFFZFZFFACAFFZFFF,185.3,0.0001,1085.48
7026,17,AAFFFZFACAFFFZFFZFFAAFFZFFZFAAFFFZFF,186.93,0.0001,1035.41
7027,17,AAFFFZFZFZFFZFFFACAFZFFFZFFAAFZFFFZF,187.23,0.0001,1088.95
7028,17,AAFFFASFZFFZFFZFAAFZFFFZFFZFZFAAFFZFFF,196.34,0.0001,1160.21
7029,17,AAFFFZFFZFFACAFFZFZFFFZFZFFAAFFZFFZF,182.19,0.0001,1052.13
7030,17,AAFFFZFZFFFACAFFZFFZFZFFZFFFACAFFZFF,192.44,0.0001,990.00
7031,17,AAFFFAAFZFFFZFFAAFFFSFZFZFFZFFZFFZF,191.2,0.0001,1055.46
7032,17,AAFFFAAFFFZFFAAFZFFZFZFFFAAFFZFFFSF,198.9,0.0001,1019.73
7033,17,AAFFAAFFFAAFFFAAFFFZFZFAAFFZFFFAAFFF,196.49,0.0001,992.65
7034,17,AAFFFAAFFFZFZFFAAFFZFFFSFFSFFZFFZF,190.98,0.0001,1019.67
7035,17,AAFAAFFFZFFAAFFFSFFZFFAAFFZFZFFZFFF,189.89,0.0001,1020.98
7036,17,AAFFFAAFFZFFFSFFZFAAFFFZFAAFFFZFFZF,193.69,0.0001,1022.83
7037,17,AAFFFSFFZFZFFFAAFFZFAAFFFZFFAAFFFZF,192.35,0.0001,1026.36
7038,17,AAFFFAAFFFZFFACAFFFZFFAAFZFFFZFZFFZF,195.55,0.0001,1042.80
7039,17,ACAFFFZFFZFFZFZFZFZFFZFFZFFSFFZFFZF,193.87,0.0001,1113.40
7040,17,AAFFFSFFZFZFZFFFZFAAFFFZFAAFFZFFFZF,188.01,0.0001,1070.70
7041,17,AAFFAAFFFZFFACAFFFZFFZFZFFSFFZFZFFF,184.83,0.0001,1036.24
7042,17,AAFFFZFZFZFFFZFASFZFFZFFZFFAAFFZFF,185.36,0.0001,1030.77
7043,17,AAFFFSFZFFZFZFFFACAFFFZFFZFAAFFZFFF,186.3,0.0001,1030.51
7044,17,AAFFZFFFZFZFSFFZFZFFZFFZFFAAFZFFFZF,186.82,0.0001,1103.44
7045,17,AAFAAFFFZFZFFZFFZFFAAFZFZFFZFFZFFZFF,188.24,0.0001,1096.16
7046,17,AAFFFZFFAAFZFFFZFFAAFZFZFFZFFFAAFFZF,189.85,0.0001,1064.23
7047,17,AAFFAAFFFZFFAAFFFZFAAFZFFZFFFAAFFZFF,186.22,0.0001,1020.44
7048,17,AAFFFAAFFFZFFAAFFFACAFFZFFAAFFFZFFZFZFZF,188.32,0.0001,1166.49
7049,17,AAFFFAAFFFAAFFZFFZFZFFFSFFSFZFFFZF,188.32,0.0001,1016.94
7050,17,AAFFAAFFFAAFFFSFFZFFAAFFFAAFZFFZFFF,193.07,0.0001,981.55
7051,17,AAFFFAAFFFZFZFFACAFFFZFFZFFSFFZFZFF,187.2,0.0001,1038.31
7052,17,AAFFFZFFAAFZFFZFFFZFACAFFFZFZFFZFFZF,192.54,0.0001,1079.75
7053,17,AAFFFZFFSFFZFZFFAAFFZFFFZFAAFZFFFZF,189,0.0001,1061.29
7054,17,AAFFFSFFZFZFZFZFFFZFZFZFFFACAFFZFFF,193.64,0.0001,1091.54
7055,17,AAFFZFFFSFFZFZFFZFFACCAFFFZFFZFFZFZFFZF,191.27,0.0001,1209.22
7056,17,AAFFFZFZFFFZFSFFZFAAFFFZFZFFZFFZFZF,196.09,0.0001,1110.30
7057,17,AAFFFAAFFFZFZFFZFFSFZFZFFZFFFAAFFZF,186.09,0.0001,1042.37
