pore_number,pore_N,Canonical_STRONGs,formation_time,formation_probability,formation_energy
77,8,AAFFFSFFZFFZFFAAFFFZFZFFF,129.76,0.0138,699.54
78,8,AAFFFZFZFFFSFZFFFZFZFZFFF,129.18,0.0052,744.75
79,8,AAFFFZFFZFZFFFSFFZFZFFFZF,131.34,0.0102,743.57
80,8,AAFFZFFFZFZFFZFZFZFFFZFFZF,132.29,0.004,784.92
81,8,AAFFFZFFZFZFFFAAFZFFFZFFZF,129.68,0.011,743.06
82,8,AAFFZFFFZFZFFSFFZFFZFFZFF,130.13,0.0013,728.62
83,8,AAFFFSFFZFZFFFZFZFZFFZFFF,130.63,0.0103,746.08
84,8,AAFFZFFFSFFZFFZFZFZFFFZFF,130.63,0.0099,739.03
85,8,AAFFFZFFSFFZFZFFFZFZFZFFF,129.18,0.0047,745.41
86,8,FFFSZFFFZFFZFZFZFFFZFZFFZ,130.08,0.0062,785.43
87,8,FFFSFFSFFZFFZFFZFZFFZFFZ,130.83,0.0014,729.81
88,8,AAFFFZFZFFFZFZFZFZFFFZFFZF,130.08,0.0076,792.60
89,8,AAFFFZFFAAFFFZFFSFFZFFZFF,128.8,0.0067,689.89
90,8,AAFFFZFZFFFZFAAFFFZFZFFFZF,130.08,0.0068,752.74
91,8,FFFZFFZFZFZFZFFFZFFZFZFZFZ,132.72,0.0029,837.89
92,8,AAFFFZFFZFFZFAAFFFZFFZFFZF,132.29,0.0015,727.62
93,8,ACAFFFZFFZFFZFZFFZFZFFFZFF,130.08,0.0045,748.99
94,8,AAFFFZFFZFFZFZFZFFZFFFZFZF,132.29,0.0038,783.96
95,8,FFFSZFFFZFFZFZFFZFZFFFZFZ,130.08,0.0015,785.91
96,8,AAFFAAFFFZFFZFFAAFFZFFZFFF,130.63,0.0016,692.73
97,8,ASFFZFFZFFZFZFFZFFZFFZFF,131.54,0.0019,706.85
98,8,FFFSZFFZFFFZFZFZFFZFFZFFZ,132.29,0.002,778.85
99,8,AAFFFSFZFFFZFZFFZFZFFZFFF,130.08,0.0018,736.51
100,9,AAFFFAAFFFZFZFFZFFZFZFFF,135.18,0.081,664.82
101,9,AAFFFAAFFFZFFAAFFFSFFZFFZFF,138.47,0.0039,736.92
102,9,FFFSFFZFFZFZFFZFFZFFZFZ,133.68,0.0845,697.05
103,9,AAFFFAAFFFAAFFFZFFAAFZFFFZFF,138.47,0.0058,740.81
104,9,AAFFFZFFZFZFFZFZFFFZFZFF,131.35,0.0691,704.83
105,9,AAFFFZFFZFZFFZFFZFZFFFZF,136.77,0.0845,701.63
106,9,AAFFFZFFAAFFFZFZFFZFFZFF,128.8,0.1135,656.80
107,9,FFFSFZFFZFFZFFZFZFFZFFZ,134.64,0.0338,685.61
108,9,AAFFFZFFZFZFZFFFZFZFFZFF,131.81,0.0859,704.57
109,9,AAFFFZFZFFZFZFFFZFZFZFFF,131.81,0.1233,712.90
110,9,AAFFFZFZFFFAAFFZFFZFFZFF,133.68,0.0569,657.26
111,9,AAFFZFFFZFZFZFFZFFZFFZFF,136.77,0.0636,695.43
112,9,AAFFFAAFFFZFZFFZFFFSZFFFZFF,139.13,0.002,783.95
113,9,AAFFFZFZFFZFFFACAFFZFFFZFZFF,140.5,0.0013,797.69
114,9,FFFZFZFZFFFZFZFZFFFZFZFZ,137.31,0.0167,760.43
115,9,AAFFFAAFFFZFFAAFFFAAFFZFFFZF,138.17,0.0061,740.37
116,9,AAFFFZFZFZFFFZFZFFFSZFFFZFF,138.48,0.0018,831.80
117,9,FFFSZFZFFFZFFZFZFZFFZFFZFFZ,141.92,0.0005,864.25
118,9,AAFFFSFFZFZFFFZFAAFFFZFZFFF,139.13,0.0042,789.78
119,9,AAFFFZFZFZFFZFFFZFAAFZFFFZFF,139.38,0.0029,827.39
120,9,ACAFFFZFFZFFSFFZFFZFZFFZFFF,140.49,0.0012,740.52
121,9,AAFFFZFFZFZFZFFZFFFZFSFFZFF,139.38,0.0011,821.76
122,9,AAFFFZFZFFZFFFACAFFFZFZFFFZF,139.54,0.0036,801.87
123,9,AAFFFZFZFFZFFZFFFSZFFZFFFZF,139.94,0.0016,818.77
124,9,AAFFFSFFAAFFFZFFZFZFZFFZFFF,141.19,0.0015,782.65
125,9,AAFFFAAFFFZFFZFAAFFFZFZFFFZF,139.94,0.0044,789.50
126,9,FFFZFFZFZFZFZFFZFFFZFZFZFZFZ,142.71,0.0004,919.52
127,9,AAFFFZFFAAFFZFFZFFFACAFFFZFF,138.17,0.0029,747.68
128,9,AAFFFZFFZFFAAFFZFFFSFFZFFZF,138.17,0.0023,773.19
129,9,AAFFFAAFFFAAFFFZFFSFFZFZFFF,138.84,0.0022,737.82
130,9,AAFFFZFFAAFFZFFFZFAAFFZFFFZF,138.17,0.0034,782.59
131,9,AAFFFSFFZFFZFZFFFAAFZFFFZFF,139.97,0.0028,781.55
132,9,FFFSFFSFFZFFZFFZFZFZFFFZFZ,140.5,0.0007,820.76
133,9,AAFFFAAFFZFFFZFZFAAFFFZFFZFF,141.92,0.0016,777.80
134,9,AAFFFAAFFFZFZFFFAAFZFFZFFFZF,140.67,0.0037,789.26
135,9,AAFFFZFAAFFFZFZFFFZFAAFFZFFF,139.63,0.0034,789.82
136,9,AAFFFZFFZFZFFZFFFSZFFFZFFZF,141.59,0.0011,818.77
137,9,AAFFAAFFFZFFZFFAAFFZFZFFFZFF,139.63,0.0008,779.24
138,9,AAFFZFFFSFFZFFZFZFZFFZFFFZF,141.05,0.0024,819.90
139,9,AAFFZFFFZFZFZFFFSFFZFZFFFZF,140.65,0.003,830.19
140,9,AAFFFZFZFFZFFFASFZFFZFFZFF,139.78,0.0009,756.17
141,9,AAFFAAFFFZFFZFFAAFZFFFZFZFFF,140.65,0.0014,784.04
142,9,AAFFZFFFZFZFZFFFSFZFFFZFZFF,139.44,0.0003,821.92
143,9,AAFFFAAFFFSFFZFFZFFAAFFZFFF,139.18,0.0036,736.79
144,9,ACAFFFZFFZFZFFFSFFZFZFFZFFF,139.02,0.0016,791.64
145,9,AAFFFZFZFFFZFSFFZFFZFZFFFZF,139.38,0.0014,827.38
146,9,AAFFFZFAAFFFZFFZFFAAFZFFFZFF,139.13,0.0026,781.41
147,9,AAFFFAAFFFZFFSFFZFFAAFFFZFF,139.18,0.003,735.76
148,9,AAFFZFFFZFZFZFFZFFFSFZFFFZF,139.94,0.0013,819.07
149,9,ACAFFFZFZFFFZFZFZFFZFZFFFZFF,139.34,0.0019,847.70
150,9,AAFFFZFFAAFFFZFFAAFZFFFZFFZF,139.13,0.0042,775.59
151,9,AAFFFAAFFFZFZFFFACAFFFZFFZFF,140.03,0.0032,755.98
152,9,AAFFFSFFZFFAAFFFZFFAAFFZFFF,139.18,0.0054,737.99
153,9,AAFFFZFAAFFZFFFZFZFFAAFFZFFF,140.65,0.0019,785.37
154,9,AAFFFZFZFFFAAFFZFFFSFZFFFZF,138.76,0.0023,780.65
155,9,AAFFZFFFZFZFFZFZFZFFZFFFZFZF,141.92,0.0006,869.45
156,9,AAFFFAAFFFZFFZFZFZFZFFFZFFZF,141.38,0.0025,824.41
157,9,AAFFFZFFSFFZFFZFFAAFFZFFFZF,138.76,0.001,772.19
158,9,AAFFFAAFFFZFFAAFFZFFFSFFZFF,139.34,0.0059,737.32
159,9,AAFFFZFFAAFFFZFZFFFSFZFFFZF,140.34,0.0023,780.40
160,9,ACAFFFZFZFFFZFZFZFZFFFZFZFFF,141.75,0.0012,850.31
161,9,AAFFFZFFZFZFFFSZFFFZFFZFZFF,140.34,0.0004,822.53
162,9,AAFFFSFFZFFZFFZFAAFFFZFFZFF,140.34,0.0016,772.24
163,9,AAFFFSFFZFFZFFZFZFZFFZFFFZF,141.59,0.0015,818.97
164,9,AAFFFZFZFFFZFAAFZFFFZFFZFZFF,139.94,0.001,828.80
165,9,AAFFFZFZFZFFFZFFAAFZFFZFFFZF,141.92,0.0013,828.22
166,9,ASFFZFZFFFZFZFZFFZFFZFFZFF,139.54,0.001,805.21
167,9,AAFFAAFFFZFFZFFSFFZFZFFZFFF,138.67,0.0003,773.63
168,9,AAFFFZFZFZFFFZFFACAFFFZFFZFF,140.34,0.0024,794.83
169,9,AAFFFSFZFFFZFZFFAAFFFZFZFFF,141.05,0.0005,782.95
170,9,AAFFFAAFFFZFFZFSFFZFFZFFZFF,139.13,0.0014,774.23
171,9,AAFFFZFZFFFSFFZFFAAFFZFFFZF,139.63,0.003,782.42
172,9,AAFFFAAFFFZFZFFFSFFAAFFFZFF,140.34,0.0044,745.83
173,9,AAFFFZFFZFZFFFAAFZFFZFFFZFZF,141.38,0.002,827.73
174,9,AAFFFZFZFFFSZFFFZFFZFZFZFFF,140.34,0.0012,830.10
175,9,AAFFFZFFZFFZFAAFFFZFZFFFZFZF,141.92,0.001,827.47
176,9,FFFSFFSFZFFFZFZFFZFZFFZFFZ,141,0.0005,812.33
177,9,AAFFFAAFFZFFFZFZFZFZFFZFFFZF,141.59,0.0028,825.97
178,9,AAFFZFFFZFZFFSFFZFFZFZFFFZF,139.94,0.0004,819.12
179,9,ACAFFFZFFZFFZFZFFZFZFFZFFFZF,140.67,0.0006,833.33
180,9,AAFFFZFFACAFFFZFFZFFZFZFZFFF,140.3,0.002,800.17
181,9,AAFFFZFFAAFFZFFZFFZFFFSZFFF,139.63,0.0007,775.06
182,9,AAFFFZFZFFZFFZFFASFFZFFZFF,140.69,0.0012,756.29
183,9,AAFFFZFFZFAAFFFZFFZFFSFFZFF,138.17,0.001,770.91
184,9,AAFFZFFZFFFSFFZFZFZFFZFFFZF,139.38,0.0011,819.45
185,9,AAFFFSFFZFZFFFZFZFZFZFFFZFF,142.03,0.0022,832.30
186,9,AAFFFZFFAAFFFZFFSFFZFZFFFZF,139.13,0.0011,780.68
187,9,AAFFFAAFFFZFFZFAAFFZFFFZFZFF,139.63,0.0016,778.92
188,9,AAFAAFFFZFFZFFZFZFZFFZFFZFFF,142.35,0.0004,815.34
189,9,AAFFFACAFFFZFFZFFZFZFZFFZFFF,141.38,0.0011,795.64
190,9,AAFFFZFZFFZFFFSFFSFFZFFZFF,140.49,0.0005,773.23
191,9,AAFFFZFZFFFZFSFFZFZFFFZFZFF,139.94,0.0008,832.31
192,9,ASFFZFFZFFZFZFFZFZFFFZFZFF,140.5,0.0006,806.41
193,9,ASFZFFFZFZFFZFZFFZFFZFFZFF,139.34,0.0004,786.15
194,9,AAFFFZFFAAFFZFFFZFSFFZFFZFF,138.17,0.0013,776.08
