pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
99946,19,AAFAAFFFAAFFFZFFAAFFFACCAFFFZFZFFFZFAAFZFFZFFFZF,1.97,198AAFAAFFFAAFFFZFFAAFFFACCAFFFZFZFFFZFAAFZFFZFFFZF,15.43,13.65,9.11
99948,19,AAFAAFFFAAFFFZFFAAFFFACCAFFFZFZFFFZFACAFFFZFFZFF,1.97,198AAFAAFFFAAFFFZFFAAFFFACCAFFFZFZFFFZFACAFFFZFFZFF,14.10,12.45,8.09
99949,19,AAFAAFFFAAFFFZFFAAFFFACCAFFFZFZFFZFFFACAFZFFFZFF,1.97,198AAFAAFFFAAFFFZFFAAFFFACCAFFFZFZFFZFFFACAFZFFFZFF,14.32,12.70,8.27
99950,19,AAFAAFFFAAFFFZFFAAFFFACCAFFFAAFFFZFFZFAAFZFFFZFF,1.97,198AAFAAFFFAAFFFZFFAAFFFACCAFFFAAFFFZFFZFAAFZFFFZFF,14.66,13.06,8.50
99957,19,AAFFFAAFFFZFFAAFFFACCAFFFZFFAAFFZFZFFFZFFACAFFZF,1.97,198AAFFFAAFFFZFFAAFFFACCAFFFZFFAAFFZFZFFFZFFACAFFZF,14.14,12.41,8.09
99985,19,AAFFFAAFFZFAAFZFFFZFZFFFAAFZFFFACCAFFFAAFFZFFFZF,1.97,198AAFFFAAFFZFAAFZFFFZFZFFFAAFZFFFACCAFFFAAFFZFFFZF,17.06,15.26,10.74
100007,19,AAFFFACCAFFFZFFZFZFFFACCAFFFZFFZFFZFAAFZFZFFFZFF,1.61,162AAFFFACCAFFFZFFZFZFFFACCAFFFZFFZFFZFAAFZFZFFFZFF,23.88,22.85,16.53
100009,19,AAFFFACCAFFFZFFAAFFFZFFACAFZFFFZFFZFAAFZFZFFFZFF,1.61,162AAFFFACCAFFFZFFAAFFFZFFACAFZFFFZFFZFAAFZFZFFFZFF,17.51,16.72,11.69
100011,19,AAFAAFFFZFFZFZFFFACCAFFFAAFFZFFFZFZFAAFZFFZFFFZF,1.61,162AAFAAFFFZFFZFZFFFACCAFFFAAFFZFFFZFZFAAFZFFZFFFZF,19.65,18.46,13.25
100026,19,AAFFFACCAFFFZFFAAFFZFZFFFZFFACAFZFFFAAFZFZFFFZFF,1.61,162AAFFFACCAFFFZFFAAFFZFZFFFZFFACAFZFFFAAFZFZFFFZFF,31.03,27.23,21.02
100028,19,AAFFFACCAFFFZFFAAFZFFZFFFZFZFAAFZFFFAAFZFZFFFZFF,1.61,162AAFFFACCAFFFZFFAAFZFFZFFFZFZFAAFZFFFAAFZFZFFFZFF,28.79,25.52,19.56
100046,19,AAFFFACCAFFFAAFFFZFFZFAAFZFFZFFFZFAAFZFZFZFFFZFF,1.61,162AAFFFACCAFFFAAFFFZFFZFAAFZFFZFFFZFAAFZFZFZFFFZFF,32.70,27.77,21.58
100071,19,AAFFFACCAFFFZFZFZFFZFZFFFZFFACAFZFFZFZFZFZFFFZFF,1.61,162AAFFFACCAFFFZFZFZFFZFZFFFZFFACAFZFFZFZFZFZFFFZFF,23.61,22.57,15.92
100076,19,AAFFFACCAFFFZFZFAAFFFZFFZFFZFAAFZFFZFZFZFZFFFZFF,1.61,162AAFFFACCAFFFZFZFAAFFFZFFZFFZFAAFZFFZFZFZFZFFFZFF,22.73,20.81,14.97
100087,19,AAFFFACAFFZFFFZFZFFZFAAFZFZFFFAAFFZFFZFFFACCAFFF,1.97,198AAFFFACAFFZFFFZFZFFZFAAFZFZFFFAAFFZFFZFFFACCAFFF,10.66,10.22,5.94
100098,19,AAFFFACAFFFZFFZFZFFFACCAFFFZFZFZFFZFFZFFFACCAFFF,1.97,198AAFFFACAFFFZFFZFZFFFACCAFFFZFZFZFFZFFZFFFACCAFFF,19.37,18.36,12.59
100105,19,AAFFFACAFFFZFFZFFZFACAFFFZFZFZFZFFFZFZFFFACCAFFF,1.97,198AAFFFACAFFFZFFZFFZFACAFFFZFZFZFZFFFZFZFFFACCAFFF,15.13,14.08,9.22
100112,19,AAFAAFFFAAFFFACCAFFFZFFZFFZFZFFZFAAFZFZFFZFFZFFF,1.97,198AAFAAFFFAAFFFACCAFFFZFFZFFZFZFFZFAAFZFZFFZFFZFFF,11.18,10.64,6.25
100113,19,AAFFFAAFFFACCAFFFZFFZFFZFZFFZFAAFZFZFZFFFZFFZFZF,1.97,198AAFFFAAFFFACCAFFFZFFZFFZFZFFZFAAFZFZFZFFFZFFZFZF,10.76,10.11,5.98
100140,19,AAFFFAAFFFACCAFFFZFFZFFAAFFFZFZFACAFFZFFFAAFFFZF,1.97,198AAFFFAAFFFACCAFFFZFFZFFAAFFFZFZFACAFFZFFFAAFFFZF,11.04,10.39,6.24
100141,19,AAFFFAAFFFACCAFFFZFFZFZFFFAAFFZFACAFFZFFFAAFFFZF,1.97,198AAFFFAAFFFACCAFFFZFFZFZFFFAAFFZFACAFFZFFFAAFFFZF,10.84,10.17,6.08
100144,19,AAFFFAAFFFACCAFFFZFFZFZFFFAAFZFFFACCAFFFZFZFFFZF,1.97,198AAFFFAAFFFACCAFFFZFFZFZFFFAAFZFFFACCAFFFZFZFFFZF,17.79,16.89,11.52
100146,19,AAFACAFFFZFZFFFZFAAFFFAAFFFACCAFFFZFFZFFAAFFZFFF,1.97,198AAFACAFFFZFZFFFZFAAFFFAAFFFACCAFFFZFFZFFAAFFZFFF,17.11,16.26,10.90
100153,19,AAFFFAAFFFACCAFFFZFFZFZFFFACAFFFZFFACAFZFFZFFFZF,1.97,198AAFFFAAFFFACCAFFFZFFZFZFFFACAFFFZFFACAFZFFZFFFZF,11.33,10.69,6.42
100169,19,AAFFAAFFFAAFFFACCAFFFZFFZFFZFZFFZFACAFZFFFZFZFFF,1.97,198AAFFAAFFFAAFFFACCAFFFZFFZFFZFZFFZFACAFZFFFZFZFFF,14.03,12.99,8.46
100184,19,AAFFFAAFFFACCAFFFZFZFFFAAFFFAAFZFFFACCAFFFZFFZFF,1.97,198AAFFFAAFFFACCAFFFZFZFFFAAFFFAAFZFFFACCAFFFZFFZFF,21.82,19.09,13.98
100190,19,AAFFFAAFFFACCAFFFAAFFFZFFZFAAFFFZFZFACAFFFZFFZFF,1.97,198AAFFFAAFFFACCAFFFAAFFFZFFZFAAFFFZFZFACAFFFZFFZFF,17.24,15.91,10.88
100194,19,AAFFFAAFFFACCAFFFAAFFFZFZFFFAAFZFFZFACAFFFZFFZFF,1.97,198AAFFFAAFFFACCAFFFAAFFFZFZFFFAAFZFFZFACAFFFZFFZFF,15.82,14.38,9.36
100199,19,AAFFFAAFFFACCAFFFZFZFFFAAFFFACAFFFZFFACAFZFFFZFF,1.97,198AAFFFAAFFFACCAFFFZFZFFFAAFFFACAFFFZFFACAFZFFFZFF,21.05,18.44,13.31
100203,19,AAFFFAAFFFACAFZFFFZFFAAFFFAAFFFACCAFFFAAFFFZFFZF,1.97,198AAFFFAAFFFACAFZFFFZFFAAFFFAAFFFACCAFFFAAFFFZFFZF,16.49,15.65,10.64
100210,19,AAFAAFFZFFFZFAAFZFFFZFZFFFACCAFFFAAFFFAAFFZFFFZF,1.97,198AAFAAFFZFFFZFAAFZFFFZFZFFFACCAFFFAAFFFAAFFZFFFZF,11.89,11.18,6.79
100220,19,AAFFFAAFFFACCAFFFZFFZFFZFAAFZFFZFFFZFZFACAFFZFFF,1.97,198AAFFFAAFFFACCAFFFZFFZFFZFAAFZFFZFFFZFZFACAFFZFFF,14.67,13.57,8.76
100232,19,AAFFFAAFFFACCAFFFZFZFZFFFZFFACAFFFAAFFFACAFFZFFF,1.97,198AAFFFAAFFFACCAFFFZFZFZFFFZFFACAFFFAAFFFACAFFZFFF,15.10,13.85,9.00
100242,19,AAFAAFFZFFFAAFFFAAFFFACCAFFFZFZFFFZFAAFZFFZFFFZF,1.97,198AAFAAFFZFFFAAFFFAAFFFACCAFFFZFZFFFZFAAFZFFZFFFZF,14.24,13.26,8.37
100245,19,AAFAAFFZFFFAAFFFAAFFFACCAFFFZFZFFZFFFACAFZFFFZFF,1.97,198AAFAAFFZFFFAAFFFAAFFFACCAFFFZFZFFZFFFACAFZFFFZFF,12.62,11.70,7.12
