pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
4,4,AAFFFZFFZFFZFFZFFF,1.43,143AAFFFZFFZFFZFFZFFF,90.48,73.01,58.57
5,4,FFFZFFZFZFFFZFFZFZ,1.24,124FFFZFFZFZFFFZFFZFZ,82.58,61.67,51.91
6,4,FFFZFZFFFZFZFFFZFZ,1.61,162FFFZFZFFFZFZFFFZFZ,78.07,61.61,49.77
7,5,AAFFFZFFZFFZFZFFFZFF,1.43,143AAFFFZFFZFFZFZFFFZFF,78.57,54.65,49.78
8,5,AAFFFZFFZFZFFFZFZFFF,1.61,162AAFFFZFFZFZFFFZFZFFF,47.69,40.85,31.34
9,5,FFFZFFZFZFFZFFFZFZFZ,1.24,124FFFZFFZFZFFZFFFZFZFZ,75.05,55.50,47.14
10,6,AAFFFZFFZFFZFZFFZFFFZF,1.43,143AAFFFZFFZFFZFZFFZFFFZF,74.58,57.95,48.06
11,6,AAFFFZFFZFFAAFFFZFFZFF,1.43,143AAFFFZFFZFFAAFFFZFFZFF,67.14,46.85,41.63
12,6,AAFFFZFFAAFFFZFFZFZFFF,1.61,162AAFFFZFFAAFFFZFFZFZFFF,36.42,32.40,24.21
13,6,AAFFFZFZFFFZFZFZFFFZFF,1.61,162AAFFFZFZFFFZFZFZFFFZFF,42.13,36.63,27.72
14,6,AAFFZFFFZFZFFZFZFFFZFF,1.43,143AAFFZFFFZFZFFZFZFFFZFF,70.20,54.32,45.12
15,6,AAFFFAAFFFZFFZFZFFZFFF,1.61,162AAFFFAAFFFZFFZFZFFZFFF,39.48,33.42,25.71
16,6,AAFFFZFZFFFAAFFFZFZFFF,1.97,198AAFFFZFZFFFAAFFFZFZFFF,21.48,18.92,13.14
17,6,FFFZFFZFZFZFFFZFFZFZFZ,1.24,124FFFZFFZFZFZFFFZFFZFZFZ,69.66,52.81,44.53
18,6,FFZFFZFFZFFZFFZFFZ,1.76,176FFZFFZFFZFFZFFZFFZ,48.92,44.43,32.18
19,7,ACAFFFZFFZFFZFZFFZFFZFFF,1.43,143ACAFFFZFFZFFZFZFFZFFZFFF,82.44,61.29,52.58
20,7,AAFFFZFFZFFZFZFZFFFZFFZF,1.43,143AAFFFZFFZFFZFZFZFFFZFFZF,64.27,46.62,39.85
21,7,AAFFFZFFZFFAAFFFZFZFFFZF,1.61,162AAFFFZFFZFFAAFFFZFZFFFZF,46.20,38.35,30.06
22,7,AAFFFZFFZFZFFFAAFFZFFFZF,1.61,162AAFFFZFFZFZFFFAAFFZFFFZF,33.53,29.81,22.33
23,7,AAFFFZFZFFFZFZFZFFZFFFZF,1.61,162AAFFFZFZFFFZFZFZFFZFFFZF,38.35,33.75,25.40
24,7,AAFFZFFFZFZFFZFZFFZFFFZF,1.43,143AAFFZFFFZFZFFZFZFFZFFFZF,67.67,52.37,43.62
25,7,AAFFFZFFZFFAAFFZFFFZFZFF,1.43,143AAFFFZFFZFFAAFFZFFFZFZFF,65.60,47.91,39.38
26,7,AAFFFZFFAAFFFZFFAAFFFZFF,1.61,162AAFFFZFFAAFFFZFFAAFFFZFF,27.95,25.37,18.36
27,7,AAFFFAAFFFZFFAAFFFZFZFFF,1.97,198AAFFFAAFFFZFFAAFFFZFZFFF,18.89,16.72,11.33
28,7,AAFFFZFFAAFFZFFFZFZFZFFF,1.61,162AAFFFZFFAAFFZFFFZFZFZFFF,31.19,28.25,20.69
29,7,AAFFFAAFFFZFFZFZFZFFFZFF,1.61,162AAFFFAAFFFZFFZFZFZFFFZFF,36.47,31.27,23.86
30,7,FFFZFFZFZFZFFZFFFZFZFZFZ,1.24,124FFFZFFZFZFZFFZFFFZFZFZFZ,65.80,49.85,42.00
31,7,FFFZFZFFZFFZFFZFFZFZ,1.76,176FFFZFZFFZFFZFFZFFZFZ,25.50,22.95,16.10
32,8,ACAFFFZFFZFFZFZFFZFZFFFZFF,1.43,143ACAFFFZFFZFFZFZFFZFZFFFZFF,77.74,57.76,49.83
33,8,ACAFFFZFFZFFZFZFZFFFZFZFFF,1.61,162ACAFFFZFFZFFZFZFZFFFZFZFFF,42.88,37.89,28.76
34,8,AAFFFZFZFFZFFFACAFFFZFFZFF,1.61,162AAFFFZFZFFZFFFACAFFFZFFZFF,38.99,33.10,25.88
35,8,AAFFFZFFZFFZFZFZFFZFFFZFZF,1.43,143AAFFFZFFZFFZFZFZFFZFFFZFZF,66.35,44.63,40.04
36,8,AAFFFZFFZFFZFAAFFFZFFZFFZF,1.43,143AAFFFZFFZFFZFAAFFFZFFZFFZF,62.98,49.30,41.03
37,8,AAFFFAAFFFZFFZFAAFFFZFFZFF,1.61,162AAFFFAAFFFZFFZFAAFFFZFFZFF,41.58,34.72,27.21
38,8,AAFFFZFFZFZFFFAAFZFFFZFFZF,1.61,162AAFFFZFFZFZFFFAAFZFFFZFFZF,30.48,27.70,20.45
39,8,AAFFFZFZFFFZFZFZFZFFFZFFZF,1.61,162AAFFFZFZFFFZFZFZFZFFFZFFZF,36.86,32.14,24.35
40,8,AAFFZFFFZFZFFZFZFZFFFZFFZF,1.43,143AAFFZFFFZFZFFZFZFZFFFZFFZF,60.85,44.60,39.60
41,8,AAFFFZFAAFFFZFFZFFAAFFZFFF,1.61,162AAFFFZFAAFFFZFFZFFAAFFZFFF,34.43,29.73,22.61
42,8,AAFFFZFZFFFZFAAFFFZFZFFFZF,1.61,162AAFFFZFZFFFZFAAFFFZFZFFFZF,41.21,34.77,26.95
43,8,AAFFFZFZFFFZFAAFFZFFFZFZFF,1.61,162AAFFFZFZFFFZFAAFFZFFFZFZFF,39.45,33.89,25.95
44,8,AAFFFZFFAAFFFZFFAAFFZFFFZF,1.61,162AAFFFZFFAAFFFZFFAAFFZFFFZF,24.16,22.12,15.71
45,8,AAFFFAAFFFZFZFFFAAFZFFFZFF,1.97,198AAFFFAAFFFZFZFFFAAFZFFFZFF,18.12,16.08,10.99
46,8,AAFFFZFZFZFFFZFFAAFZFFFZFF,1.61,162AAFFFZFZFZFFFZFFAAFZFFFZFF,29.61,26.44,19.67
47,8,AAFFFAAFFFZFFZFZFZFFZFFFZF,1.61,162AAFFFAAFFFZFFZFZFZFFZFFFZF,33.84,28.87,22.20
48,8,AAFFFZFFAAFZFFFZFFZFZFZFFF,1.61,162AAFFFZFFAAFZFFFZFFZFZFZFFF,30.03,27.33,20.04
49,8,AAFFFZFFZFFAAFZFFFZFFZFZFF,1.43,143AAFFFZFFZFFAAFZFFFZFFZFZFF,64.09,49.28,41.91
50,8,AAFZFFFZFFZFZFFZFZFFZFFFZF,1.43,143AAFZFFFZFFZFZFFZFZFFZFFFZF,64.71,50.40,41.99
51,8,AAFFAAFFFZFFZFFAAFFZFFZFFF,1.43,143AAFFAAFFFZFFZFFAAFFZFFZFFF,71.73,49.76,44.53
52,8,AAFFZFFFZFZFFAAFFZFFFZFZFF,1.43,143AAFFZFFFZFZFFAAFFZFFFZFZFF,63.45,43.60,40.87
53,8,AAFFFAAFFFZFFAAFFFAAFFFZFF,1.97,198AAFFFAAFFFZFFAAFFFAAFFFZFF,16.71,14.65,9.78
54,8,AAFFFAAFFFAAFFFZFFAAFFZFFF,1.97,198AAFFFAAFFFAAFFFZFFAAFFZFFF,15.10,13.69,8.70
55,8,AAFFFAAFFZFFFZFZFZFZFFFZFF,1.61,162AAFFFAAFFZFFFZFZFZFZFFFZFF,33.38,28.64,21.86
56,8,FFFZFFZFZFZFZFFFZFFZFZFZFZ,1.24,124FFFZFFZFZFZFZFFFZFFZFZFZFZ,63.96,48.79,41.11
57,8,AAFFFZFFZFZFFZFFZFFZFF,1.76,176AAFFFZFFZFZFFZFFZFFZFF,26.06,21.85,16.60
58,8,AAFFFZFZFFZFFZFFZFZFFF,2.07,208AAFFFZFZFFZFFZFFZFZFFF,9.06,7.80,3.92
59,8,FFFZFZFFZFFZFZFFFZFZFZ,1.76,176FFFZFZFFZFFZFZFFFZFZFZ,16.46,14.74,9.57
60,8,FFFZFZFFZFZFFFZFZFFZFZ,1.76,176FFFZFZFFZFZFFFZFZFFZFZ,16.96,15.38,9.99
61,9,ACAFFFZFFZFFZFZFFZFZFFZFFFZF,1.43,143ACAFFFZFFZFFZFZFFZFZFFZFFFZF,73.94,55.46,47.67
62,9,AAFFFZFFZFFACAFFFZFFZFFZFZFF,1.43,143AAFFFZFFZFFACAFFFZFFZFFZFZFF,57.11,44.82,36.98
63,9,AAFFFZFFACAFFFZFFZFFZFZFZFFF,1.61,162AAFFFZFFACAFFFZFFZFFZFZFZFFF,37.24,33.57,25.09
64,9,AAFFFZFZFZFFFZFFACAFFFZFFZFF,1.61,162AAFFFZFZFZFFFZFFACAFFFZFFZFF,36.89,31.11,24.30
65,9,AAFFFZFZFFZFFFACAFFZFFFZFZFF,1.61,162AAFFFZFZFFZFFFACAFFZFFFZFZFF,30.95,27.86,20.84
66,9,ACAFFFZFZFFFZFZFZFFZFZFFFZFF,1.61,162ACAFFFZFZFFFZFZFZFFZFZFFFZFF,37.87,33.15,25.08
67,9,ACAFFZFFFZFZFFZFZFFZFZFFFZFF,1.43,143ACAFFZFFFZFZFFZFZFFZFZFFFZFF,65.80,50.82,42.59
68,9,AAFFFACAFFFZFFZFFZFZFZFFZFFF,1.61,162AAFFFACAFFFZFFZFFZFZFZFFZFFF,36.18,31.37,23.95
69,9,AAFFFZFFZFZFFFACAFFFZFFZFFZF,1.61,162AAFFFZFFZFZFFFACAFFFZFFZFFZF,31.60,29.51,21.40
70,9,AAFFFAAFFFZFZFFFACAFFFZFFZFF,1.97,198AAFFFAAFFFZFZFFFACAFFFZFFZFF,21.59,19.22,13.71
71,9,AAFFFZFZFFZFFFACAFFFZFZFFFZF,1.61,162AAFFFZFZFFZFFFACAFFFZFZFFFZF,34.26,29.73,22.87
72,9,ACAFFFZFZFFFZFZFZFZFFFZFZFFF,1.61,162ACAFFFZFZFFFZFZFZFZFFFZFZFFF,38.77,34.65,26.02
73,9,AAFFFZFFAAFFZFFZFFFACAFFFZFF,1.61,162AAFFFZFFAAFFZFFZFFFACAFFFZFF,27.98,24.94,18.55
74,9,AAFAAFFFZFFZFFZFZFZFFZFFZFFF,1.43,143AAFAAFFFZFFZFFZFZFZFFZFFZFFF,76.24,57.79,49.02
75,9,AAFFFZFFZFFZFZFZFZFFFZFFZFZF,1.43,143AAFFFZFFZFFZFZFZFZFFFZFFZFZF,56.72,43.48,36.25
76,9,AAFFFZFFZFFZFAAFFFZFZFFFZFZF,1.61,162AAFFFZFFZFFZFAAFFFZFZFFFZFZF,40.55,34.36,26.55
77,9,AAFFFAAFFZFFFZFZFAAFFFZFFZFF,1.61,162AAFFFAAFFZFFFZFZFAAFFFZFFZFF,36.98,31.47,24.37
78,9,AAFFFZFFZFZFFFAAFZFFZFFFZFZF,1.61,162AAFFFZFFZFZFFFAAFZFFZFFFZFZF,30.44,27.33,20.41
79,9,AAFFFZFZFFFZFZFZFZFFZFFFZFZF,1.61,162AAFFFZFZFFFZFZFZFZFFZFFFZFZF,35.73,31.38,23.68
80,9,AAFFZFFFZFZFFZFZFZFFZFFFZFZF,1.43,143AAFFZFFFZFZFFZFZFZFFZFFFZFZF,60.76,45.15,39.57
81,9,AAFFFZFFZFFZFAAFFZFFFZFZFFZF,1.43,143AAFFFZFFZFFZFAAFFZFFFZFZFFZF,58.12,45.51,37.82
82,9,AAFFFAAFFFZFFZFAAFFFZFZFFFZF,1.61,162AAFFFAAFFFZFFZFAAFFFZFZFFFZF,37.55,31.65,24.66
83,9,AAFFFAAFFFZFFZFAAFFZFFFZFZFF,1.61,162AAFFFAAFFFZFFZFAAFFZFFFZFZFF,35.09,30.08,23.10
84,9,AAFFFZFFAAFFFZFFAAFZFFFZFFZF,1.61,162AAFFFZFFAAFFFZFFAAFZFFFZFFZF,22.62,21.08,14.73
85,9,AAFFFAAFFFZFZFFFAAFZFFZFFFZF,1.97,198AAFFFAAFFFZFZFFFAAFZFFZFFFZF,16.89,15.02,10.13
86,9,AAFFFZFZFZFFFZFFAAFZFFZFFFZF,1.61,162AAFFFZFZFZFFFZFFAAFZFFZFFFZF,26.01,23.88,17.31
87,9,AAFFFAAFFFZFFZFZFZFZFFFZFFZF,1.61,162AAFFFAAFFFZFFZFZFZFZFFFZFFZF,32.84,28.34,21.63
88,9,AAFFFZFFAAFZFFZFFFZFZFZFZFFF,1.61,162AAFFFZFFAAFZFFZFFFZFZFZFZFFF,27.82,25.17,18.39
89,9,AAFFFZFFZFFAAFZFFZFFFZFZFZFF,1.43,143AAFFFZFFZFFAAFZFFZFFFZFZFZFF,63.55,47.00,38.33
90,9,AAFZFFFZFFZFZFFZFZFZFFFZFFZF,1.43,143AAFZFFFZFFZFZFFZFZFZFFFZFFZF,59.33,46.80,38.90
91,9,AAFFFZFAAFFFZFFZFFAAFZFFFZFF,1.61,162AAFFFZFAAFFFZFFZFFAAFZFFFZFF,32.59,27.86,21.37
92,9,AAFFFZFAAFFFZFZFFFZFAAFFZFFF,1.61,162AAFFFZFAAFFFZFZFFFZFAAFFZFFF,31.07,27.48,20.55
93,9,AAFFFZFAAFFZFFFZFZFFAAFFZFFF,1.61,162AAFFFZFAAFFZFFFZFZFFAAFFZFFF,29.60,26.46,19.60
94,9,AAFFAAFFFZFFZFFAAFZFFFZFZFFF,1.61,162AAFFAAFFFZFFZFFAAFZFFFZFZFFF,38.00,33.23,25.17
95,9,AAFFFZFZFFFZFAAFZFFFZFFZFZFF,1.61,162AAFFFZFZFFFZFAAFZFFFZFFZFZFF,41.40,34.98,27.25
96,9,AAFFFZFFAAFFZFFFZFAAFFZFFFZF,1.61,162AAFFFZFFAAFFZFFFZFAAFFZFFFZF,21.53,19.60,13.82
97,9,AAFFFAAFFFZFFAAFFFAAFFZFFFZF,1.97,198AAFFFAAFFFZFFAAFFFAAFFZFFFZF,15.67,13.90,9.23
98,9,AAFFFAAFFFAAFFFZFFAAFZFFFZFF,1.97,198AAFFFAAFFFAAFFFZFFAAFZFFFZFF,14.53,13.36,8.50
99,9,AAFFFZFZFZFFZFFFZFAAFZFFFZFF,1.61,162AAFFFZFZFZFFZFFFZFAAFZFFFZFF,28.45,25.84,19.06
100,9,AAFFFAAFFZFFFZFZFZFZFFZFFFZF,1.61,162AAFFFAAFFZFFFZFZFZFZFFZFFFZF,30.54,26.59,20.17
101,9,AAFFZFFFZFZFFAAFZFFFZFFZFZFF,1.43,143AAFFZFFFZFZFFAAFZFFFZFFZFZFF,63.65,42.34,40.89
102,9,AAFFAAFFFZFFZFFAAFFZFZFFFZFF,1.43,143AAFFAAFFFZFFZFFAAFFZFZFFFZFF,64.13,48.92,41.27
103,9,FFFZFFZFZFZFZFFZFFFZFZFZFZFZ,1.24,124FFFZFFZFZFZFZFFZFFFZFZFZFZFZ,62.02,47.14,39.58
104,9,AAFFZFFFZFZFZFFZFFZFFZFF,1.76,176AAFFZFFFZFZFZFFZFFZFFZFF,23.85,20.45,15.09
105,9,AAFFFZFZFFFAAFFZFFZFFZFF,1.97,198AAFFFZFZFFFAAFFZFFZFFZFF,19.78,17.39,12.62
106,9,AAFFFZFFAAFFFZFZFFZFFZFF,2.07,208AAFFFZFFAAFFFZFZFFZFFZFF,8.88,7.48,3.96
107,9,AAFFFZFFZFZFZFFFZFZFFZFF,1.76,176AAFFFZFFZFZFZFFFZFZFFZFF,16.42,14.59,9.63
108,9,AAFFFZFFZFZFFZFZFFFZFZFF,1.76,176AAFFFZFFZFZFFZFZFFFZFZFF,17.85,15.96,10.72
109,9,AAFFFZFFZFZFFZFFZFZFFFZF,1.76,176AAFFFZFFZFZFFZFFZFZFFFZF,18.78,16.42,11.40
110,9,AAFFFAAFFFZFZFFZFFZFZFFF,2.25,225AAFFFAAFFFZFZFFZFFZFZFFF,4.47,2.57,2.64
111,9,AAFFFZFZFFZFZFFFZFZFZFFF,2.07,208AAFFFZFZFFZFZFFFZFZFZFFF,6.52,5.02,2.35
112,9,FFFZFZFZFFFZFZFZFFFZFZFZ,1.76,176FFFZFZFZFFFZFZFZFFFZFZFZ,10.28,8.81,5.13
114,10,ACAFFFZFFZFFZFZFFZFZFZFFFZFFZF,1.43,143ACAFFFZFFZFFZFZFFZFZFZFFFZFFZF,70.51,53.33,45.70
115,10,AAFFFZFZFFFZFACAFFFZFFZFFZFZFF,1.61,162AAFFFZFZFFFZFACAFFFZFFZFFZFZFF,53.26,42.73,34.35
116,10,AAFFFZFZFZFFZFFZFFFACAFZFFFZFF,1.61,162AAFFFZFZFZFFZFFZFFFACAFZFFFZFF,34.83,31.46,23.67
117,10,AAFFFZFZFZFFZFFFZFACAFFFZFFZFF,1.61,162AAFFFZFZFZFFZFFFZFACAFFFZFFZFF,36.77,31.49,24.45
118,10,AAFFFZFZFFZFFFACAFZFFFZFFZFZFF,1.61,162AAFFFZFZFFZFFFACAFZFFFZFFZFZFF,32.47,28.62,21.87
119,10,ACAFFFZFZFFFZFZFZFFZFZFFZFFFZF,1.61,162ACAFFFZFZFFFZFZFZFFZFZFFZFFFZF,40.17,34.45,26.50
120,10,ACAFFZFFFZFZFFZFZFFZFZFFZFFFZF,1.43,143ACAFFZFFFZFZFFZFZFFZFZFFZFFFZF,63.65,49.47,41.52
121,10,AAFFZFFFZFZFFACAFFFZFFZFFZFZFF,1.43,143AAFFZFFFZFZFFACAFFFZFFZFFZFZFF,55.19,43.56,36.06
122,10,AAFFFZFAAFFFZFFZFFACAFFFZFFZFF,1.61,162AAFFFZFAAFFFZFFZFFACAFFFZFFZFF,39.49,31.99,25.65
123,10,AAFFAAFFFZFFZFFACAFFFZFFZFZFFF,1.61,162AAFFAAFFFZFFZFFACAFFFZFFZFZFFF,28.96,26.39,19.40
124,10,AAFFFZFFZFFACAFFFZFZFFFZFZFZFF,1.61,162AAFFFZFFZFFACAFFFZFZFFFZFZFZFF,36.53,31.88,24.16
125,10,AAFFFZFFZFFACAFFZFFFZFZFFZFZFF,1.43,143AAFFFZFFZFFACAFFZFFFZFZFFZFZFF,60.10,41.94,39.07
126,10,AAFFFZFFAAFFFZFFACAFFFZFFZFFZF,1.61,162AAFFFZFFAAFFFZFFACAFFFZFFZFFZF,26.30,25.04,17.72
127,10,AAFFFAAFFFAAFFFZFFACAFFFZFFZFF,1.97,198AAFFFAAFFFAAFFFZFFACAFFFZFFZFF,19.41,17.55,12.21
128,10,AAFFFZFAAFFFZFZFFZFFFACAFFZFFF,1.61,162AAFFFZFAAFFFZFZFFZFFFACAFFZFFF,27.60,24.98,18.43
129,10,AAFFFZFFACAFFFZFZFFFZFZFZFZFFF,1.61,162AAFFFZFFACAFFFZFZFFFZFZFZFZFFF,32.30,29.76,21.90
130,10,AAFFFZFFACAFFZFFFZFZFFZFZFZFFF,1.61,162AAFFFZFFACAFFZFFFZFZFFZFZFZFFF,30.14,27.58,20.24
131,10,AAFFFZFFAAFFZFFZFFFACAFFZFFFZF,1.61,162AAFFFZFFAAFFZFFZFFFACAFFZFFFZF,27.24,23.73,18.03
132,10,AAFFFZFZFZFFFZFFACAFFFZFZFFFZF,1.61,162AAFFFZFZFZFFFZFFACAFFFZFZFFFZF,32.21,27.53,21.30
133,10,AAFFFZFZFZFFFZFFACAFFZFFFZFZFF,1.61,162AAFFFZFZFZFFFZFFACAFFZFFFZFZFF,27.96,25.15,18.71
134,10,AAFFFZFFAAFFZFZFFFZFFACAFFFZFF,1.61,162AAFFFZFFAAFFZFZFFFZFFACAFFFZFF,22.65,20.84,14.75
135,10,AAFFFAAFFFZFZFFFACAFFZFFFZFZFF,1.97,198AAFFFAAFFFZFZFFFACAFFZFFFZFZFF,17.81,15.82,10.93
136,10,AAFFFZFFZFZFFFACAFFZFFFZFZFFZF,1.61,162AAFFFZFFZFZFFFACAFFZFFFZFZFFZF,29.67,26.97,19.93
137,10,AAFFFACAFFZFFFZFZFFZFZFZFFZFFF,1.61,162AAFFFACAFFZFFFZFZFFZFZFZFFZFFF,33.45,28.33,22.00
138,10,AAFFFACAFFFZFFZFFZFZFZFZFFFZFF,1.61,162AAFFFACAFFFZFFZFFZFZFZFZFFFZFF,33.14,29.13,22.09
139,10,AAFFFACAFFFZFFZFFZFAAFFFZFZFFF,1.97,198AAFFFACAFFFZFFZFFZFAAFFFZFZFFF,18.11,16.16,10.96
140,10,AAFFFAAFFZFFFAAFFFACAFFFZFFZFF,1.97,198AAFFFAAFFZFFFAAFFFACAFFFZFFZFF,18.68,16.87,11.64
141,10,AAFFFACAFFFZFFZFZFFFAAFZFFZFFF,1.61,162AAFFFACAFFFZFFZFZFFFAAFZFFZFFF,34.22,29.33,22.79
142,10,AAFFFACAFFFZFZFFFZFZFZFZFFZFFF,1.61,162AAFFFACAFFFZFZFFFZFZFZFZFFZFFF,32.73,28.52,21.67
143,10,AAFFZFFFZFZFZFFFACAFFFZFFZFFZF,1.61,162AAFFZFFFZFZFZFFFACAFFFZFFZFFZF,27.05,25.32,18.13
144,10,ACAFFFZFFZFZFFFACAFFFZFFZFZFFF,1.61,162ACAFFFZFFZFZFFFACAFFFZFFZFZFFF,34.79,31.19,23.46
145,10,AAFFFZFFZFZFFFACAFFFZFZFFFZFZF,1.61,162AAFFFZFFZFZFFFACAFFFZFZFFFZFZF,29.24,27.27,19.73
146,10,AAFFFAAFFFZFZFFFACAFFFZFZFFFZF,1.97,198AAFFFAAFFFZFZFFFACAFFFZFZFFFZF,19.23,17.13,11.97
147,10,AAFFFZFFAAFZFFFZFZFFFACAFFFZFF,1.61,162AAFFFZFFAAFZFFFZFZFFFACAFFFZFF,25.12,22.61,16.51
148,10,AAFFZFFFACAFFFZFFZFFAAFZFFFZFF,1.61,162AAFFZFFFACAFFFZFFZFFAAFZFFFZFF,25.07,22.29,16.51
149,10,AAFAAFFFZFFZFFZFZFZFFZFZFFFZFF,1.43,143AAFAAFFFZFFZFFZFZFZFFZFZFFFZFF,70.06,53.40,45.11
150,10,AAFAAFFFZFFZFFZFZFZFZFFFZFZFFF,1.61,162AAFAAFFFZFFZFFZFZFZFZFFFZFZFFF,38.28,34.00,25.59
151,10,AAFAAFFFZFFZFFZFAAFFFZFZFFZFFF,1.61,162AAFAAFFFZFFZFFZFAAFFFZFZFFZFFF,35.42,30.71,23.62
152,10,AAFAAFFFZFFZFFAAFFFAAFFZFFZFFF,1.61,162AAFAAFFFZFFZFFAAFFFAAFFZFFZFFF,41.72,33.71,27.14
153,10,AAFFFZFFZFFZFZFZFZFFZFFFZFZFZF,1.43,143AAFFFZFFZFFZFZFZFZFFZFFFZFZFZF,59.50,42.63,36.36
155,10,AAFFFAAFFFZFFZFZFAAFFFZFFZFFZF,1.61,162AAFFFAAFFFZFFZFZFAAFFFZFFZFFZF,35.95,30.77,23.59
156,10,AAFFFAAFFZFFZFFFAAFZFZFFZFFFZF,1.61,162AAFFFAAFFZFFZFFFAAFZFZFFZFFFZF,33.97,29.61,22.64
157,10,AAFFFZFFZFZFFFAAFZFZFFFZFFZFZF,1.61,162AAFFFZFFZFZFFFAAFZFZFFFZFFZFZF,28.62,25.98,19.18
158,10,AAFFFZFZFFFZFZFZFZFZFFFZFFZFZF,1.61,162AAFFFZFZFFFZFZFZFZFZFFFZFFZFZF,34.66,30.24,22.96
159,10,AAFFZFFFZFZFFZFZFZFZFFFZFFZFZF,1.43,143AAFFZFFFZFZFFZFZFZFZFFFZFFZFZF,55.83,40.66,36.49
160,10,AAFFFZFFAAFZFFZFFZFFFAAFZFZFFF,1.61,162AAFFFZFFAAFZFFZFFZFFFAAFZFZFFF,29.68,26.27,19.56
161,10,AAFFFZFZFFFZFZFAAFFFZFZFFFZFZF,1.61,162AAFFFZFZFFFZFZFAAFFFZFZFFFZFZF,37.29,31.97,24.50
162,10,AAFFFZFZFFFZFZFAAFFZFFFZFZFFZF,1.61,162AAFFFZFZFFFZFZFAAFFZFFFZFZFFZF,36.42,31.39,23.98
163,10,AAFFFAAFFZFFFZFZFAAFFFZFZFFFZF,1.61,162AAFFFAAFFZFFFZFZFAAFFFZFZFFFZF,33.62,28.59,22.11
164,10,AAFFFAAFFZFFFZFZFAAFFZFFFZFZFF,1.61,162AAFFFAAFFZFFFZFZFAAFFZFFFZFZFF,31.78,27.30,20.92
165,10,AAFFFZFFAAFFFZFFAAFZFFZFFFZFZF,1.61,162AAFFFZFFAAFFFZFFAAFZFFZFFFZFZF,21.68,20.00,14.04
166,10,AAFFFAAFFFZFZFFFAAFZFZFFFZFFZF,1.97,198AAFFFAAFFFZFZFFFAAFZFZFFFZFFZF,16.93,15.08,10.26
167,10,AAFFFZFZFZFFFZFFAAFZFZFFFZFFZF,1.61,162AAFFFZFZFZFFFZFFAAFZFZFFFZFFZF,26.35,23.88,17.59
168,10,AAFFFAAFFFZFFZFZFZFZFFZFFFZFZF,1.61,162AAFFFAAFFFZFFZFZFZFZFFZFFFZFZF,31.58,27.00,20.76
169,10,AAFFFZFFAAFZFZFFFZFFZFZFZFZFFF,1.61,162AAFFFZFFAAFZFZFFFZFFZFZFZFZFFF,27.56,25.15,18.30
171,10,AAFZFFFZFFZFZFFZFZFZFFZFFFZFZF,1.43,143AAFZFFFZFFZFZFFZFZFZFFZFFFZFZF,58.87,46.37,38.68
172,10,AAFFFZFFZFFAAFZFFZFFZFFFAAFZFF,1.43,143AAFFFZFFZFFAAFZFFZFFZFFFAAFZFF,65.45,46.71,40.49
173,10,AAFFFZFFZFFZFAAFZFFFZFFZFZFFZF,1.43,143AAFFFZFFZFFZFAAFZFFFZFFZFZFFZF,59.34,46.82,38.87
175,10,AAFFFAAFFFZFFZFAAFFFAAFFFZFFZF,1.61,162AAFFFAAFFFZFFZFAAFFFAAFFFZFFZF,35.85,30.42,23.57
176,10,AAFFFAAFFFZFFZFAAFFZFFFAAFFFZF,1.61,162AAFFFAAFFFZFFZFAAFFZFFFAAFFFZF,29.14,25.59,19.16
177,10,AAFFAAFFFAAFFFZFFZFAAFFZFFZFFF,1.61,162AAFFAAFFFAAFFFZFFZFAAFFZFFZFFF,32.87,28.17,21.61
178,10,AAFFFAAFFFZFFZFAAFZFFFZFFZFZFF,1.61,162AAFFFAAFFFZFFZFAAFZFFFZFFZFZFF,38.05,32.01,25.08
179,10,AAFFFZFFAAFFZFFFZFAAFZFFFZFFZF,1.61,162AAFFFZFFAAFFZFFFZFAAFZFFFZFFZF,20.09,18.70,12.99
180,10,AAFFFZFFAAFZFFFZFFZFAAFFZFFFZF,1.61,162AAFFFZFFAAFZFFFZFFZFAAFFZFFFZF,19.15,17.91,12.22
181,10,AAFFFAAFFFZFFAAFFFAAFZFFFZFFZF,1.97,198AAFFFAAFFFZFFAAFFFAAFZFFFZFFZF,14.84,13.05,8.63
182,10,AAFFFAAFFFAAFFFZFFAAFZFFZFFFZF,1.97,198AAFFFAAFFFAAFFFZFFAAFZFFZFFFZF,12.86,11.89,7.31
183,10,AAFFFZFAAFFFZFFZFFAAFZFFZFFFZF,1.61,162AAFFFZFAAFFFZFFZFFAAFZFFZFFFZF,28.25,25.11,18.79
184,10,AAFFFZFZFZFFZFFFZFAAFZFFZFFFZF,1.61,162AAFFFZFZFZFFZFFFZFAAFZFFZFFFZF,25.17,23.52,16.88
185,10,AAFFFAAFFZFFFZFZFZFZFZFFFZFFZF,1.61,162AAFFFAAFFZFFFZFZFZFZFZFFFZFFZF,29.70,25.65,19.57
186,10,AAFFFZFZFZFZFFFZFFZFAAFZFFFZFF,1.61,162AAFFFZFZFZFZFFFZFFZFAAFZFFFZFF,26.82,23.99,17.81
188,10,AAFFFZFZFFFZFAAFZFFZFFFZFZFZFF,1.61,162AAFFFZFZFFFZFAAFZFFZFFFZFZFZFF,36.73,31.87,24.29
