STRONGS of xyz file 
file_name 	 STRONGS 
pore1078.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1079.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore108.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1080.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1081.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1082.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1083.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1084.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1085.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1086.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1087.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1088.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1089.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore109.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1090.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1091.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1092.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1093.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1094.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1095.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1096.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1097.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1098.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1099.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore11.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore110.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1100.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1101.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1102.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1103.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1104.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1105.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1106.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1107.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1108.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1109.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore111.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1110.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1111.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1112.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1113.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1114.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1115.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1116.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1117.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1118.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1119.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore112.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1120.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1121.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1122.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1123.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1124.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1125.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1126.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1127.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1128.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1129.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore113.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1130.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1131.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1132.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1133.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1134.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1135.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1136.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1137.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1138.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1139.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore114.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1140.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1141.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1142.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1143.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1144.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1145.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1146.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1147.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1148.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1149.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore115.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1150.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1151.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1152.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1153.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1154.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1155.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1156.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1157.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1158.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1159.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore116.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1160.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1161.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1162.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1163.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1164.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1165.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1166.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1167.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1168.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1169.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore117.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1170.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1171.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1172.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1173.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1174.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1175.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1176.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1177.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1178.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1179.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore118.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1180.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1181.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1182.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1183.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1184.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1185.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1186.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1187.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1188.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1189.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore119.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1190.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1191.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1192.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1193.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1194.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1195.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1196.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1197.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1198.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
