STRONGS of xyz file 
file_name 	 STRONGS 
002_77.xyz 	 FFZFZFFZFZFZFFSFFSFFZFFZFAAFFFSFFSFFZFZFZFFZFZFZFZ 
002_78.xyz 	 FFZFZFFZFZFZFZFZFFZFFZFAAFFFSFFSFFZFZFZFFZFZFZFZ 
002_79.xyz 	 FFZFZFZFZFFZFZFFZFZFZFFZFZFFZFZFZFZFFZ 
002_8.xyz 	 ZFFZFFFSFFZFFZFFFSFF 
002_80.xyz 	 FFZFZFAAFFFAAFFFAAFFZFZFZFFZFZFFZFZFZFZFFZ 
002_81.xyz 	 FFZFZFAAFFZFFZFFAAFFZFZFZFFZFZFFZFZFZFZFFZ 
002_82.xyz 	 ZFFAAFFAAFFAAFFASFSFFSFFSFFSFFZFFZFFZFZFZFZFZFZFZFZFZFZFFFZFZFFFSFFSFASFAAFFAAFFAAFFZFFFSFF 
002_83.xyz 	 FFZFZFFZFFAAFFAAFFAAFFSZFZFZFFZFFZFFZFZFZFZFZFZFZFZFZFZFFZFFZFFZFZFZFACAFFAAFFAAFFAAF 
002_84.xyz 	 ZFFAAFFAAFFAAFFSZFZFZFFZFFAAFFFZFZFZFZFZFZFZFZFZFZFZFFFAAFFZFFZFZFZFSFAAFFAAFFAAFFZFFZFZFF 
002_85.xyz 	 FFZFZFZFFZFFAAFFAAFFAAFFSZFZFZFFZFFAAFFZFFFSFFSFFSFFSFFSFFSFFSFFSFFSFFSFFZFFAAFFZFFZFZFACAFFAAFFAAFFAAF 
002_86.xyz 	 FFFSFFZFZFZFFZFZFZFFFSFFAAFFZFZFFZFZFFAA 
002_87.xyz 	 FFZFFAAFFFSFFAAFFFSFFAAFFZFFAAFFZFZFFZFZFFAA 
002_88.xyz 	 ZFFSFFZFZFZFFZFZFZFFFSFZFFAAFFFSFFAAFFFSFFAAFF 
002_89.xyz 	 FFZFFAAFFFSFFAAFFFSFFAAFFZFFSFFZFZFZFFZFZFFAA 
002_9.xyz 	 FFZFZFFFAAFFFZFFZFZF 
100_1111.xyz 	 FFFSFZFFFZFSFZFFFSFFZFZFFFASFZFFFASFZ 
100_1142.xyz 	 ZFFFSZFFZFZFZFZFZFFFSFZFZFFAAFFZFZFZFFAAFZFFFSFFAAF 
100_1201.xyz 	 FFZFZFZFZFFAAFFFSFZFFAAFFAAFFFAAFZFZFFZFZFZFZFFAAFFZFZFZFFZFSFFZFFSFFSFFAA 
100_1202.xyz 	 FFAAFFFSFFAAFFAAFFFACAFFFAAFFAAFFFACAFFFAAFFFSFZFZFZFFAAFFZFZFZFFZFAAFFZFZFFAA 
100_121.xyz 	 FFZFAAFFZFFAAFFAAFFFAAFFSFFZFZFZFFSFFZFZFAAFFFAAFFZFZFZFFSFFZFZFZFFAS 
100_122.xyz 	 FFAAFFFAAFFFSZFFFZFAAFFZFZFFZFFSFFZFZFZFZFFZFZ 
100_1262.xyz 	 FFFSFZFFASFFZFFSFZFFAAFFFAAFFZFFSFFAAFFZFFFSZFFZFZ 
100_1322.xyz 	 FFFSFSFFZFZFZFFAAFFZFZFFAAFFFASFZFZFFAAFZFFFAAFZFFAAFFZFZFFAAFFZFFSFZ 
100_152.xyz 	 FFFSFFAAF 
100_1532.xyz 	 FFAAFFFSFZFFAAFFZFZFZFZFFFSFFSFZFZFFFSZFFFACAFFFAAFFAAFFFAAFZFFZFAAFFFAA 
100_1591.xyz 	 ZFAAFFFSFFZFZFZFFFSZFFFAAFFFSFZFFSFFZFZFFZFAAFFF 
